Number,Roman_Numeral,Yoruba
322,CCCXXII,Okoolloodunrun ati meji
323,CCCXXIII,Okoolloodunrun ati meta
324,CCCXXIV,Okoolloodunrun ati merin
325,CCCXXV,Okoolloodunrun olemarunun
326,CCCXXVI,Okoolloodunrun olemarunun ati mefa
327,CCCXXVII,Okoolloodunrun olemarunun ati meje
328,CCCXXVIII,Okoolloodunrun olemarunun ati mejo
329,CCCXXIX,Okoolloodunrun olemarunun ati mesan
330,CCCXXX,Okoolloodunrun olemewaa
331,CCCXXXI,Okoolloodunrun olemewaa ati okan
332,CCCXXXII,Okoolloodunrun olemewaa ati meji
333,CCCXXXIII,Okoolloodunrun olemewaa ati meta
334,CCCXXXIV,Okoolloodunrun olemewaa ati merin
335,CCCXXXV,Ojileloodunrun odin marunun
336,CCCXXXVI,Ojileloodunrun odin marunun ati mefa
337,CCCXXXVII,Ojileloodunrun odin marunun ati meje
338,CCCXXXVIII,Ojileloodunrun odin marunun ati mejo
339,CCCXXXIX,Ojileloodunrun odin marunun ati mesan
340,CCCXL,Ojileloodunrun
341,CCCXLI,Ojileloodunrun ati okan
342,CCCXLII,Ojileloodunrun ati meji
343,CCCXLIII,Ojileloodunrun ati meta
344,CCCXLIV,Ojileloodunrun ati merin
345,CCCXLV,Ojileloodunrun olemarunun
346,CCCXLVI,Ojileloodunrun olemarunun ati mefa
347,CCCXLVII,Ojileloodunrun olemarunun ati meje
348,CCCXLVIII,Ojileloodunrun olemarunun ati mejo
349,CCCXLIX,Ojileloodunrun olemarunun ati mesan
350,CCCL,Ojileloodunrun olemewaa
351,CCCLI,Ojileloodunrun olemewaa ati okan
352,CCCLII,Ojileloodunrun olemewaa ati meji
353,CCCLIII,Ojileloodunrun olemewaa ati meta
354,CCCLIV,Ojileloodunrun olemewaa ati merin
355,CCCLV,Ojileloodunrun olemewaa ati aarun
356,CCCLVI,Ojileloodunrun olemewaa ati mefa
357,CCCLVII,Ojileloodunrun olemewaa ati meje
358,CCCLVIII,Ojileloodunrun olemewaa ati mejo
359,CCCLIX,Ojileloodunrun olemewaa ati mesan
360,CCCLX,Otaleloodunrin
361,CCCLXI,Otaleloodunrin ati okan
362,CCCLXII,Otaleloodunrin ati meji
363,CCCLXIII,Otaleloodunrin ati meta
364,CCCLXIV,Otaleloodunrin ati merin
365,CCCLXV,Otaleloodunrin olemarunun
366,CCCLXVI,Otaleloodunrin olemarunun ati mefa
367,CCCLXVII,Otaleloodunrin olemarunun ati meje
368,CCCLXVIII,Otaleloodunrin olemarunun ati mejo
369,CCCLXIX,Otaleloodunrin olemarunun ati mesan
370,CCCLXX,Otaleloodunrin olemewaa
371,CCCLXXI,Otaleloodunrin olemewaa ati okan
372,CCCLXXII,Otaleloodunrin olemewaa ati meji
373,CCCLXXIII,Otaleloodunrin olemewaa ati meta
374,CCCLXXIV,Otaleloodunrin olemewaa ati merin
375,CCCLXXV,Orinleloodunrun odinmarunun
376,CCCLXXVI,Orinleloodunrun odinmarunun ati mefa
377,CCCLXXVII,Orinleloodunrun odinmarunun ati meje
378,CCCLXXVIII,Orinleloodunrun odinmarunun ati mejo
379,CCCLXXIX,Orinleloodunrun odinmarunun ati mesan
380,CCCLXXX,Orinle looduunrun
381,CCCLXXXI,Orinle looduunrun ati okan
382,CCCLXXXII,Orinle looduunrun ati meji
383,CCCLXXXIII,Orinle looduunrun ati meta
384,CCCLXXXIV,Orinle looduunrun ati merin
385,CCCLXXXV,Orunlelodunrun odinmarunun
386,CCCLXXXVI,Orunlelodunrun odinmarunun ati mefa
387,CCCLXXXVII,Orunlelodunrun odinmarunun ati meje
388,CCCLXXXVIII,Orunlelodunrun odinmarunun ati mejo
389,CCCLXXXIX,Orunlelodunrun odinmarunun ati mesan
390,CCCXC,Orunlelodunrun olemewaa
391,CCCXCI,Orunlelodunrun olemewaa ati okan
392,CCCXCII,Orunlelodunrun olemewaa ati meji
393,CCCXCIII,Orunlelodunrun olemewaa ati meta
394,CCCXCIV,Orunlelodunrun olemewaa ati merin
395,CCCXCV,Irinwo odinmarunun
396,CCCXCVI,Irinwo odinmarunun ati mefa
